ind,mother,father,generation
664470,664472,664471,2
717554,900368,900367,2
717619,72884,72883,2
717718,47727,47726,2
718101,453651,453650,2
828591,281569,281568,2
828743,828745,66909,2
828877,828889,828888,2
860836,860842,860841,2
863540,863544,863543,2
863542,408237,408236,2
863556,714465,714464,2
868741,104666,104665,2
868745,868747,868746,2
868834,868842,868841,2
130835,130859,130858,2
132944,132977,132976,2
717556,717563,717562,2
717621,717627,717626,2
406338,672098,672097,2
828576,809167,809166,2
828578,828584,828583,2
828599,828602,828601,2
860838,408066,408065,2
861316,861322,861321,2
868832,868838,868837,2
863185,0,0,2
136980,0,0,2
861893,0,0,2
717640,0,0,2
295171,295176,295175,2
863193,863203,863202,2
294709,294714,294713,2
295173,714764,714763,2
442563,442566,442565,2
716487,716492,716491,2
295654,295660,295659,2
442585,442588,442587,2
137813,137816,137815,2
296125,296128,296127,2
296176,296181,296180,2
296364,296371,296370,2
297723,0,0,2
716489,712304,712303,2
861891,861896,861895,2
861932,861937,861936,2
861865,711803,711802,2
864340,864343,864342,2
294711,294647,294646,2
297228,297231,297230,2
297725,297730,297729,2
716126,716632,716631,2
714753,714760,714759,2
714720,0,0,2
294729,294732,294731,2
296178,296185,296184,2
714751,714756,714755,2
863342,863347,863346,2
294581,460352,460351,2
715358,460372,460371,2
715289,715294,715293,2
866809,866812,866811,2
711162,711168,711167,2
711164,711172,711171,2
714601,709510,709509,2
715412,863451,863450,2
715603,459520,459519,2
715605,859874,859873,2
861934,861941,861940,2
863412,861533,861532,2
863841,827221,827220,2
863843,827219,827218,2
454426,0,0,2
130699,130703,130702,2
137608,137612,137611,2
137627,137630,137629,2
145729,145732,145731,2
220064,65531,65530,2
288244,288253,288252,2
288246,288257,288256,2
295140,295147,295146,2
442539,359419,359418,2
442762,442765,442764,2
442792,97109,97108,2
442798,442801,442800,2
442804,442808,442807,2
714603,95616,95615,2
714710,460062,460061,2
716160,716168,716167,2
716473,716478,716477,2
716518,715362,715361,2
716521,716526,716525,2
811567,811570,811569,2
811571,811574,811573,2
860095,860100,860099,2
860775,860780,860779,2
862022,402855,402854,2
862024,709580,709579,2
863196,863205,863204,2
863490,863495,863494,2
863492,863499,863498,2
863986,863991,863990,2
864284,667109,667108,2
864286,864289,864288,2
864372,864375,864374,2
295181,295184,295183,2
865369,42051,42050,2
866699,715805,715804,2
137785,137788,137787,2
17953,17962,17961,2
130263,130266,130265,2
130267,130270,130269,2
134378,134381,134380,2
136011,136014,136013,2
136039,136042,136041,2
136972,65529,65528,2
100148,100151,100150,2
137768,137772,137771,2
144592,111414,111413,2
806510,806515,806514,2
144800,144803,144802,2
145719,145722,145721,2
217897,217906,217905,2
